Nivel de educación;Sexo;periodo;Total
Nivel 5-8;Hombres;2011;11,7
Nivel 5-8;Hombres;2010;12,1
Nivel 5-8;Hombres;2009;11,7
Nivel 5-8;Hombres;2008;12,5
Nivel 5-8;Hombres;2007;13,1
Nivel 5-8;Hombres;2006;13,2
Nivel 5-8;Hombres;2005;13,0
Nivel 5-8;Hombres;2004;12,2
Nivel 5-8;Mujeres;2023;22,6
Nivel 5-8;Mujeres;2022;22,4
Nivel 5-8;Mujeres;2021;21,9
Nivel 5-8;Mujeres;2020;20,5
Nivel 5-8;Mujeres;2019;19,9
Nivel 5-8;Mujeres;2018;19,8
Nivel 5-8;Mujeres;2017;19,5
Nivel 5-8;Mujeres;2016;19,9
Nivel 5-8;Mujeres;2015;19,0
Nivel 5-8;Mujeres;2014;18,3
Nivel 5-8;Mujeres;2013;19,6
Nivel 5-8;Mujeres;2012;20,1
Nivel 5-8;Mujeres;2011;21,2
Nivel 5-8;Mujeres;2010;19,8
Nivel 5-8;Mujeres;2009;18,9
Nivel 5-8;Mujeres;2008;19,6
Nivel 5-8;Mujeres;2007;19,5
Nivel 5-8;Mujeres;2006;20,2
Nivel 5-8;Mujeres;2005;20,4
Nivel 5-8;Mujeres;2004;19,3
